movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
Star Wars: Episode VIII - The Last Jedi,,PG-13,"['Action', ' Adventure', ' Fantasy']",152,6.9,84,655362,69.0
Melancholia,,R,"['Drama', ' Sci-Fi']",135,7.1,81,190409,71.0
Bird Box: Barcelona,,TV-MA,"['Horror', ' Mystery', ' Sci-Fi']",112,5.3,47,19300,53.0
Sky High,,PG,"['Action', ' Comedy', ' Family']",100,6.3,62,92054,63.0
2012,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",158,5.8,49,389635,58.0
Terminator Genisys,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,6.3,38,287507,63.0
TRON: Legacy,,PG,"['Action', ' Adventure', ' Sci-Fi']",125,6.8,49,348659,68.0
The Amazing Spider-Man,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",136,6.9,66,682954,69.0
Terminator: Dark Fate,,R,"['Action', ' Adventure', ' Sci-Fi']",128,6.2,54,187508,62.0
Predestination,,R,"['Action', ' Drama', ' Sci-Fi']",97,7.4,69,294380,74.0
Deep Blue Sea,,R,"['Action', ' Adventure', ' Sci-Fi']",105,5.9,54,139707,59.0
Pacific Rim,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,6.9,65,518700,69.0
Sonic the Hedgehog,,PG,"['Action', ' Adventure', ' Comedy']",99,6.5,47,152029,65.0
Iron Man 3,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",130,7.1,62,879562,71.0
Deja Vu,,PG-13,"['Action', ' Crime', ' Sci-Fi']",126,7.1,59,320752,71.0
Avengers: Age of Ultron,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",141,7.3,66,898272,73.0
Dawn of the Planet of the Apes,,PG-13,"['Action', ' Adventure', ' Drama']",130,7.6,79,456356,76.0
Pandorum,,R,"['Action', ' Horror', ' Mystery']",108,6.7,28,156234,67.0
10 Cloverfield Lane,,PG-13,"['Drama', ' Horror', ' Mystery']",103,7.2,76,344035,72.0
Crimes of the Future,,R,"['Drama', ' Horror', ' Sci-Fi']",107,5.9,67,37250,59.0
Spider-Man 2,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,7.5,83,684921,75.0
A.I. Artificial Intelligence,,PG-13,"['Drama', ' Sci-Fi']",146,7.2,65,317221,72.0
The Invisible Man,,R,"['Drama', ' Horror', ' Mystery']",124,7.1,72,242755,71.0
Weird Science,,PG-13,"['Comedy', ' Romance', ' Sci-Fi']",94,6.6,46,94465,66.0
The Divergent Series: Insurgent,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,6.2,42,248135,62.0
Despicable Me,,PG,"['Animation', ' Adventure', ' Comedy']",95,7.6,72,567825,76.0
Blade II,,R,"['Action', ' Horror', ' Sci-Fi']",117,6.7,52,228246,67.0
The Tomorrow War,,PG-13,"['Action', ' Adventure', ' Drama']",138,6.5,45,218492,65.0
Ant-Man,,PG-13,"['Action', ' Comedy', ' Sci-Fi']",117,7.3,64,702820,73.0
Limitless,,PG-13,"['Sci-Fi', ' Thriller']",105,7.4,59,596475,74.0
X-Men: Days of Future Past,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,7.9,75,731581,79.0
The Running Man,,R,"['Action', ' Sci-Fi', ' Thriller']",101,6.7,45,161007,67.0
Blade: Trinity,,R,"['Action', ' Horror', ' Sci-Fi']",113,5.8,38,184352,58.0
Event Horizon,,R,"['Horror', ' Sci-Fi', ' Thriller']",96,6.6,35,190714,66.0
The Lego Movie,,PG,"['Animation', ' Action', ' Adventure']",100,7.7,83,377235,77.0
Men in Black II,,PG-13,"['Action', ' Adventure', ' Comedy']",88,6.2,49,392288,62.0
Glass,,PG-13,"['Drama', ' Horror', ' Sci-Fi']",129,6.6,43,257781,66.0
Escape Room,,PG-13,"['Action', ' Adventure', ' Horror']",99,6.4,48,135204,64.0
Looper,,R,"['Action', ' Drama', ' Sci-Fi']",119,7.4,84,591647,74.0
Godzilla vs. Kong,,PG-13,"['Action', ' Sci-Fi', ' Thriller']",113,6.3,59,224696,63.0
The Fly,,R,"['Drama', ' Horror', ' Sci-Fi']",96,7.6,79,194224,76.0
Source Code,,PG-13,"['Action', ' Drama', ' Mystery']",93,7.5,74,536288,75.0
X-Men: First Class,,PG-13,"['Action', ' Sci-Fi']",131,7.7,65,710854,77.0
Dark City,,R,"['Fantasy', ' Mystery', ' Sci-Fi']",100,7.6,66,207320,76.0
Ghostbusters,,PG-13,"['Action', ' Comedy', ' Fantasy']",117,6.8,60,239395,68.0
Captain America: Civil War,,PG-13,"['Action', ' Sci-Fi']",147,7.8,75,825071,78.0
Jurassic Park III,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",92,5.9,42,334034,59.0
Minority Report,,PG-13,"['Action', ' Crime', ' Mystery']",145,7.6,80,570929,76.0
The Bad Batch,,R,"['Action', ' Horror', ' Mystery']",118,5.2,62,34191,52.0
The Predator,,R,"['Action', ' Adventure', ' Horror']",107,5.3,48,139573,53.0
Resident Evil,,R,"['Action', ' Horror', ' Sci-Fi']",100,6.6,33,281343,66.0
Rise of the Planet of the Apes,,PG-13,"['Action', ' Drama', ' Sci-Fi']",105,7.6,68,545520,76.0
The Island,,PG-13,"['Action', ' Sci-Fi', ' Thriller']",136,6.8,50,322945,68.0
Cloud Atlas,,R,"['Drama', ' Mystery', ' Sci-Fi']",172,7.4,55,369444,74.0
Dragonball Evolution,,PG,"['Action', ' Adventure', ' Fantasy']",85,2.5,45,77780,25.0
Teenage Mutant Ninja Turtles: Out of the Shadows,,PG-13,"['Action', ' Adventure', ' Comedy']",112,5.9,40,97543,59.0
The Adam Project,,PG-13,"['Action', ' Adventure', ' Comedy']",106,6.7,55,219442,67.0
John Carter,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,6.6,51,281202,66.0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,,PG,"['Action', ' Adventure', ' Comedy']",88,6.0,45,59418,60.0
Fantastic Four,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",100,4.3,27,173025,43.0
Landscape with Invisible Hand,,R,"['Comedy', ' Drama', ' Sci-Fi']",105,6.6,53,460,66.0
The Purge,,R,"['Horror', ' Sci-Fi', ' Thriller']",85,5.7,41,233534,57.0
Planet of the Apes,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",120,5.7,50,224900,57.0
Big Hero 6,,PG,"['Animation', ' Action', ' Adventure']",102,7.8,74,484931,78.0
Hellboy,,R,"['Action', ' Adventure', ' Fantasy']",120,5.2,31,95173,52.0
Upgrade,,R,"['Action', ' Sci-Fi', ' Thriller']",100,7.5,67,197703,75.0
Back to the Future Part II,,PG,"['Adventure', ' Comedy', ' Sci-Fi']",108,7.8,57,556467,78.0
Morbius,,PG-13,"['Action', ' Adventure', ' Horror']",104,5.2,35,141587,52.0
The Hunger Games: Mockingjay - Part 1,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,6.6,64,478731,66.0
Terminator Salvation,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",115,6.5,49,371714,65.0
Pacific Rim: Uprising,,PG-13,"['Action', ' Adventure', ' Fantasy']",111,5.6,44,123316,56.0
Gravity,,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",91,7.7,96,847226,77.0
The World's End,,R,"['Action', ' Comedy', ' Sci-Fi']",109,6.9,81,292426,69.0
Close Encounters of the Third Kind,,PG,"['Drama', ' Sci-Fi']",138,7.6,90,211139,76.0
"I, Robot",,PG-13,"['Action', ' Mystery', ' Sci-Fi']",115,7.1,59,560958,71.0
Iron Man 2,,PG-13,"['Action', ' Sci-Fi']",124,6.9,57,847642,69.0
